SN,PN,NAME,VALUE,CREATETIME,Value length,PASS/FAIL_1,PASS/FAIL_2,PASS/FAIL_3,PASS/FAIL_4,"#????? ???500??? ????????????
# SN?????[100001~999999];
# PN???[AAA BBB]? 250?
# NAME???[AAA->CW BBB->CX]
# VALUE[AAA??21? BBB??17?]
# CREATETIME ????-????",??????,????,??????,????
217717,AAA,CW,L7K18BOR53OE3AQJASV7O,20220919,21,Pass,Pass,Pass,Pass,,,,,
155713,AAA,CW,V6K8M431P8GIWIY2LYQK5,20210818,21,Pass,Pass,Pass,Pass,,,,,
106570,AAA,CW,T8OD6YNUQHQPLSKZSNZOO,20220229,21,Pass,Pass,Pass,Pass,,,,,
672867,AAA,CW,AMRDV1O8AWP9SQ1X26EQL,20220226,21,Pass,Pass,Pass,Pass,,,,,
895695,AAA,CW,QXCHA1VRRMH6XD33DJME5,20210210,21,Pass,Pass,Pass,Pass,,,,,
913612,AAA,CW,Y1W2B0PT9QI2SUHBZBZ8A,20231112,21,Pass,Pass,Pass,Pass,,,,,
882609,AAA,CW,UW1EQPWSOE8LR74ON67GF,20201112,21,Pass,Pass,Pass,Pass,,,,,
692798,AAA,CW,NW2Y2F73DEFKVYDONG0QB,20220221,21,Pass,Pass,Pass,Pass,,,,,
368345,AAA,CW,JZRXBURMKK0QJ8N1QGKCD,20221108,21,Pass,Pass,Pass,Pass,,,,,
880739,AAA,CW,YXXPNNVMM7BZ6GS5WHYH4,20220203,21,Pass,Pass,Pass,Pass,,,,,
833734,AAA,CW,1MN4TQDDSHS2V3OBA1KSU,20220622,21,Pass,Pass,Pass,Pass,,,,,
930490,AAA,CW,2QSQRI00FWJG7KPUMTRP5,20211103,21,Pass,Pass,Pass,Pass,,,,,
386101,AAA,CW,XB32TXJMCVJM8R0Z2DFQD,20231004,21,Pass,Pass,Pass,Pass,,,,,
267705,AAA,CW,N1NMVO1GFAYYIDVFEYX3M,20231102,21,Pass,Pass,Pass,Pass,,,,,
206286,AAA,CW,MG02AZDSM4QMND0S16WU2,20220304,21,Pass,Pass,Pass,Pass,,,,,
390477,AAA,CW,T4KMR7JCIA5F4IOEC5227,20220305,21,Pass,Pass,Pass,Pass,,,,,
600736,AAA,CW,U9KVXMKWJZVKMLDJUVRXX,20210517,21,Pass,Pass,Pass,Pass,,,,,
208619,AAA,CW,GW8ZYXY2G526E3Z1ZML9Z,20210713,21,Pass,Pass,Pass,Pass,,,,,
826907,AAA,CW,FXBKB8K1YZ3YDU95K1ZCL,20230927,21,Pass,Pass,Pass,Pass,,,,,
427746,AAA,CW,9JYP74AYS11MX6YTGWJCF,20210407,21,Pass,Pass,Pass,Pass,,,,,
245172,AAA,CW,IUE7AYM73GW3M2TGQII0N,20230301,21,Pass,Pass,Pass,Pass,,,,,
524601,AAA,CW,7GLOM0NPXM4OQNEY9ABCD,20220112,21,Pass,Pass,Pass,Pass,,,,,
584781,AAA,CW,QKZUC5HTDCIORV0U5WRJ8,20230624,21,Pass,Pass,Pass,Pass,,,,,
129466,AAA,CW,N16HMPX812ND3J2SM8H85,20210311,21,Pass,Pass,Pass,Pass,,,,,
875597,AAA,CW,YS7RPUK0JP9159QJ80FSR,20200405,21,Pass,Pass,Pass,Pass,,,,,
685325,AAA,CW,462IZRXDPP91PCZ68GBCL,20210806,21,Pass,Pass,Pass,Pass,,,,,
606096,AAA,CW,OIHG2VUTNA5IG15ZRYA4R,20231218,21,Pass,Pass,Pass,Pass,,,,,
280656,AAA,CW,37VMNJHHETJ11TYARQ526,20210612,21,Pass,Pass,Pass,Pass,,,,,
764629,AAA,CW,ISCKV1VMM0QNMUBLNZL9O,20200715,21,Pass,Pass,Pass,Pass,,,,,
635959,AAA,CW,HG77LV5TO2QSBTV8EKMKV,20201229,21,Pass,Pass,Pass,Pass,,,,,
385364,AAA,CW,8SD61Z6KAUF8W3I5M76GZ,20221015,21,Pass,Pass,Pass,Pass,,,,,
347353,AAA,CW,72AVA359ZY3LKTF280GTJ,20230508,21,Pass,Pass,Pass,Pass,,,,,
759810,AAA,CW,7V72VJ6ZDB73OKCPA2O3A,20201029,21,Pass,Pass,Pass,Pass,,,,,
756887,AAA,CW,YKQDN89JAVRG7AX3ACCEP,20220427,21,Pass,Pass,Pass,Pass,,,,,
777371,AAA,CW,S0IFCG1EAXL5CZCJW1QPR,20220811,21,Pass,Pass,Pass,Pass,,,,,
375344,AAA,CW,G4LGOF4PAVP4NCM0DOU5E,20200504,21,Pass,Pass,Pass,Pass,,,,,
832174,AAA,CW,NPDGMJP9ARNSVO9GWCGPX,20200203,21,Pass,Pass,Pass,Pass,,,,,
931703,AAA,CW,K8AMYQO7MNW4QWQ4EBS15,20201013,21,Pass,Pass,Pass,Pass,,,,,
867504,AAA,CW,N8AU720EL1WERL94JRI4C,20220920,21,Pass,Pass,Pass,Pass,,,,,
459070,AAA,CW,87HY1A82C644US6AHHWV8,20220220,21,Pass,Pass,Pass,Pass,,,,,
111977,AAA,CW,0V9UDG0LQQMMGDT14BLT8,20210509,21,Pass,Pass,Pass,Pass,,,,,
476341,AAA,CW,YDJR65JEMN0OV8OOGAWBS,20201220,21,Pass,Pass,Pass,Pass,,,,,
868650,AAA,CW,4VBL5M3JWY8RCJ6PTZ8GY,20210530,21,Pass,Pass,Pass,Pass,,,,,
833412,AAA,CW,63F5AFTEF1FXW8X59IWSX,20211111,21,Pass,Pass,Pass,Pass,,,,,
708752,AAA,CW,U3K7S081E137VYAGW8QC2,20210120,21,Pass,Pass,Pass,Pass,,,,,
479051,AAA,CW,YC9RMHI96SW82AEWSY1OX,20231116,21,Pass,Pass,Pass,Pass,,,,,
596631,AAA,CW,NCMOKXVZ1UEG6365IVGP1,20230212,21,Pass,Pass,Pass,Pass,,,,,
148979,AAA,CW,ZT0N5PBHGV4IPFCGKQSRS,20221103,21,Pass,Pass,Pass,Pass,,,,,
336129,AAA,CW,S92KOX6EQTPNXNI5E8VMU,20230126,21,Pass,Pass,Pass,Pass,,,,,
594694,AAA,CW,SX9NFCLZCS3S3GQW25L8P,20220804,21,Pass,Pass,Pass,Pass,,,,,
859974,AAA,CW,ERFN44HF7LCLG9R0806H5,20230912,21,Pass,Pass,Pass,Pass,,,,,
694267,AAA,CW,IOCYUZEXM9383N8DGU18Z,20210420,21,Pass,Pass,Pass,Pass,,,,,
197544,AAA,CW,G45H4SM8WKMC7UI0LLB9T,20210819,21,Pass,Pass,Pass,Pass,,,,,
132282,AAA,CW,78CFV8C3DDAKOXNVSLCR0,20201203,21,Pass,Pass,Pass,Pass,,,,,
791840,AAA,CW,1MPOANDVDFQAR0U4LDFLL,20221128,21,Pass,Pass,Pass,Pass,,,,,
969217,AAA,CW,412C1CDU0PRD8DS3YP556,20210419,21,Pass,Pass,Pass,Pass,,,,,
231577,AAA,CW,TGUY06FZU0DJ7AX6IG56C,20230229,21,Pass,Pass,Pass,Pass,,,,,
776159,AAA,CW,TM8DHGE3UC10XWACY3RLD,20211024,21,Pass,Pass,Pass,Pass,,,,,
303584,AAA,CW,M1O2BTU4SCY7RSSBPC6W9,20230621,21,Pass,Pass,Pass,Pass,,,,,
406554,AAA,CW,6CAXZ669D3CFQFQ8I1KBQ,20230420,21,Pass,Pass,Pass,Pass,,,,,
770277,AAA,CW,66DSYCC1LQ67G1RI11790,20200103,21,Pass,Pass,Pass,Pass,,,,,
234068,AAA,CW,MNENJ8OUGIC15RFPO8CAL,20201206,21,Pass,Pass,Pass,Pass,,,,,
569107,AAA,CW,WEEP8YOHZ3BZAX5B0P8GT,20210129,21,Pass,Pass,Pass,Pass,,,,,
746408,AAA,CW,TP8OSWB12XT8AT1YQU3SS,20221109,21,Pass,Pass,Pass,Pass,,,,,
447327,AAA,CW,M06WOKA7D4M4SHFPXVS0G,20220931,21,Pass,Pass,Pass,Pass,,,,,
108433,AAA,CW,6K4PZQLB7MTLUWXKKEYR2,20220911,21,Pass,Pass,Pass,Pass,,,,,
600567,AAA,CW,DF1GKWOQQKARFBNHZJ2GZ,20230609,21,Pass,Pass,Pass,Pass,,,,,
785698,AAA,CW,ADZ3CI3XQ36DK9JP103PW,20220525,21,Pass,Pass,Pass,Pass,,,,,
152448,AAA,CW,7KSWY1HQ4W4VCQUZ5UXQY,20210112,21,Pass,Pass,Pass,Pass,,,,,
698777,AAA,CW,AZKPLLQF0GG9XWBRBB3YZ,20211202,21,Pass,Pass,Pass,Pass,,,,,
873435,AAA,CW,2JMURZ8L01C9L7JOO1ATB,20230426,21,Pass,Pass,Pass,Pass,,,,,
360816,AAA,CW,0L57A06Q4L2DXOX9L9ACB,20200102,21,Pass,Pass,Pass,Pass,,,,,
472167,AAA,CW,KL6824R20HEL6Q5AVE2LZ,20231122,21,Pass,Pass,Pass,Pass,,,,,
641115,AAA,CW,NIUG9P0H7CLCC4RKZ2710,20210825,21,Pass,Pass,Pass,Pass,,,,,
393049,AAA,CW,BW6E7M9KQ7XH9EKA2VQKV,20200523,21,Pass,Pass,Pass,Pass,,,,,
267879,AAA,CW,GYSQY9W5OD8CSKWNA8L1A,20220919,21,Pass,Pass,Pass,Pass,,,,,
508712,AAA,CW,ZFGVOGPVW357RR1X41V1I,20220820,21,Pass,Pass,Pass,Pass,,,,,
665069,AAA,CW,WUP94ID7DHG0K8YAR7L3G,20230409,21,Pass,Pass,Pass,Pass,,,,,
445465,AAA,CW,GLCMBOHKO2P0QHEKVRHXS,20231216,21,Pass,Pass,Pass,Pass,,,,,
817140,AAA,CW,FWAFA4ES9TNZXQW9OD5HL,20220827,21,Pass,Pass,Pass,Pass,,,,,
458347,AAA,CW,M4W5XXIQQZIPXF2CQIOGT,20210223,21,Pass,Pass,Pass,Pass,,,,,
432196,AAA,CW,YFG4JZILTBYIT9BWH9VVF,20230424,21,Pass,Pass,Pass,Pass,,,,,
163236,AAA,CW,XO5ZD7KW8635FB93VGJQD,20230704,21,Pass,Pass,Pass,Pass,,,,,
468314,AAA,CW,Z8QZ9BZF22AYQU1APAOZ7,20220628,21,Pass,Pass,Pass,Pass,,,,,
482046,AAA,CW,NLVD7KJBN80JGZ1Z7YV4H,20220612,21,Pass,Pass,Pass,Pass,,,,,
513592,AAA,CW,SU3QPVF6W3QKREKOMY9F1,20221217,21,Pass,Pass,Pass,Pass,,,,,
110239,AAA,CW,0V2VHQ94NJ56JTC62IYG9,20200305,21,Pass,Pass,Pass,Pass,,,,,
111139,AAA,CW,03ZUXKNAOGW23X2AWQQTW,20230516,21,Pass,Pass,Pass,Pass,,,,,
146582,AAA,CW,UVAJN83PEGJPMO9S25DI7,20211001,21,Pass,Pass,Pass,Pass,,,,,
750438,AAA,CW,2E30KBOZF1AZOEY8GF1UP,20201006,21,Pass,Pass,Pass,Pass,,,,,
413500,AAA,CW,U73RRUGD3E6QLWGWQ80MK,20210411,21,Pass,Pass,Pass,Pass,,,,,
874712,AAA,CW,IKP5DT3CN4B4N6HVVZ1SO,20220624,21,Pass,Pass,Pass,Pass,,,,,
407706,AAA,CW,O8GH7Y16EWG2X5UFB5A25,20200814,21,Pass,Pass,Pass,Pass,,,,,
364949,AAA,CW,4WP4FCDLLUFHMB2QJ0L43,20210408,21,Pass,Pass,Pass,Pass,,,,,
390977,AAA,CW,MPGME04F9MIF4QAQURT80,20230511,21,Pass,Pass,Pass,Pass,,,,,
119023,AAA,CW,X4NNLTXLW74QPUJKUZZ5I,20230809,21,Pass,Pass,Pass,Pass,,,,,
931968,AAA,CW,OQXD8RPST6HWR6J8XWXV7,20231203,21,Pass,Pass,Pass,Pass,,,,,
552245,AAA,CW,TBXE3JGHFQ0FF40L8THHE,20201204,21,Pass,Pass,Pass,Pass,,,,,
844039,AAA,CW,VF6AYSCD2YBTTW5EMCITA,20201101,21,Pass,Pass,Pass,Pass,,,,,
968627,AAA,CW,G9JZG9BGW8H0JD0X0FPRR,20230707,21,Pass,Pass,Pass,Pass,,,,,
528190,AAA,CW,VS22OGXNMF6WCNB4ALXCH,20230415,21,Pass,Pass,Pass,Pass,,,,,
357644,AAA,CW,8AROZZFC0CGY677VI2J96,20210703,21,Pass,Pass,Pass,Pass,,,,,
195698,AAA,CW,TVQDD7ZCFQLFV5GSFYEY6,20220120,21,Pass,Pass,Pass,Pass,,,,,
592750,AAA,CW,H1LAPZOHE6Y5Q5HBB5EBN,20210716,21,Pass,Pass,Pass,Pass,,,,,
985629,AAA,CW,BK1EVZGWJ2PYK91VNCD28,20220929,21,Pass,Pass,Pass,Pass,,,,,
977047,AAA,CW,UCM8SZSJOAP7SQEI75LWJ,20231027,21,Pass,Pass,Pass,Pass,,,,,
322547,AAA,CW,Q5YXWN2J3YU9KHOOF7DNO,20230722,21,Pass,Pass,Pass,Pass,,,,,
937559,AAA,CW,BTWTZJY5E137IQ7J9LATX,20210227,21,Pass,Pass,Pass,Pass,,,,,
420232,AAA,CW,FJN0X5NRNKS3HP23FZ8JL,20220515,21,Pass,Pass,Pass,Pass,,,,,
635485,AAA,CW,G1YDVDDOGI8NVVKFT1KU5,20200609,21,Pass,Pass,Pass,Pass,,,,,
108701,AAA,CW,C52JLR1OVWXVSIBOD9WNW,20220615,21,Pass,Pass,Pass,Pass,,,,,
124699,AAA,CW,89NOBQFL0GJ0VOW92QQLB,20230224,21,Pass,Pass,Pass,Pass,,,,,
254936,AAA,CW,RN4FQE8WMICTJYRFF4GGY,20220210,21,Pass,Pass,Pass,Pass,,,,,
274001,AAA,CW,XDLCS6ZJR2R5KED8P4YJ3,20230914,21,Pass,Pass,Pass,Pass,,,,,
380069,AAA,CW,21FCIQCR6OYYN2SGNFUF8,20220822,21,Pass,Pass,Pass,Pass,,,,,
673525,AAA,CW,WLUICLBIWJC6WZYA6P3LS,20220815,21,Pass,Pass,Pass,Pass,,,,,
851746,AAA,CW,17AB0K1RAMYPUL5VGAIP7,20220609,21,Pass,Pass,Pass,Pass,,,,,
919170,AAA,CW,WY722JGLB2OALKJNP8IO5,20231010,21,Pass,Pass,Pass,Pass,,,,,
277010,AAA,CW,J6BIJVEN6IKJZ87H9ZJMG,20220124,21,Pass,Pass,Pass,Pass,,,,,
288793,AAA,CW,AGPF3E0N7WX4FTEDBLLLJ,20210703,21,Pass,Pass,Pass,Pass,,,,,
347833,AAA,CW,8SEKN06USTKOV915RFJD4,20210308,21,Pass,Pass,Pass,Pass,,,,,
681187,AAA,CW,ID5IN1OHP8ZWM13DZLPDJ,20200708,21,Pass,Pass,Pass,Pass,,,,,
791838,AAA,CW,BV0FDJ2BU471DGSHZYNBH,20230322,21,Pass,Pass,Pass,Pass,,,,,
417868,AAA,CW,SK2LDF2YSARN4E04MR14X,20230208,21,Pass,Pass,Pass,Pass,,,,,
201841,AAA,CW,5H4CVKKXCZ49BD4SUMVZQ,20200510,21,Pass,Pass,Pass,Pass,,,,,
433097,AAA,CW,HTE7BOYT1NWR66TBPK5FP,20210923,21,Pass,Pass,Pass,Pass,,,,,
505065,AAA,CW,YPAPIW80ZL1GXTIE91UY9,20210703,21,Pass,Pass,Pass,Pass,,,,,
109696,AAA,CW,9T4MKQ4VQBTPYR28XZF6T,20211106,21,Pass,Pass,Pass,Pass,,,,,
432308,AAA,CW,XGMV680D41SPSXO6V4040,20200306,21,Pass,Pass,Pass,Pass,,,,,
287501,AAA,CW,0QJN12M8IVW7RZRBMAFB2,20210816,21,Pass,Pass,Pass,Pass,,,,,
203753,AAA,CW,KW00AH3816IZADHVKJIMG,20230313,21,Pass,Pass,Pass,Pass,,,,,
384667,AAA,CW,4O42I60XEHH9DF2A2MMLW,20230303,21,Pass,Pass,Pass,Pass,,,,,
390273,AAA,CW,ZN3DCQ9LELTNDPH77S7HB,20220326,21,Pass,Pass,Pass,Pass,,,,,
764195,AAA,CW,RA621ONUI1YB8PE3EVJTI,20211115,21,Pass,Pass,Pass,Pass,,,,,
703207,AAA,CW,UFVC9U6H7WA7O08PQMDC0,20201209,21,Pass,Pass,Pass,Pass,,,,,
486077,AAA,CW,5L4H2N6VG2VHBB1UIP0KL,20230104,21,Pass,Pass,Pass,Pass,,,,,
694796,AAA,CW,92RU1ZX6DMMRKQIT0F0R4,20210521,21,Pass,Pass,Pass,Pass,,,,,
914281,AAA,CW,N762BFG0CAJKBDARNMHPZ,20200824,21,Pass,Pass,Pass,Pass,,,,,
843480,AAA,CW,K611KS9HY1C1DPVS3IB6J,20210302,21,Pass,Pass,Pass,Pass,,,,,
234055,AAA,CW,7VXGB2V5H73STOYY96JWY,20230620,21,Pass,Pass,Pass,Pass,,,,,
314350,AAA,CW,89NM3P0WGF8UN38ZOMAU9,20221020,21,Pass,Pass,Pass,Pass,,,,,
696387,AAA,CW,1X2ENZV47179RVOZVVEH6,20210425,21,Pass,Pass,Pass,Pass,,,,,
984447,AAA,CW,NH9HDN9NXO3GCE2BP4QMW,20230719,21,Pass,Pass,Pass,Pass,,,,,
548319,AAA,CW,THICXCQG822L7C503Q5YI,20210515,21,Pass,Pass,Pass,Pass,,,,,
507476,AAA,CW,7MVHWBWXYTA5VDDL6C1S1,20200227,21,Pass,Pass,Pass,Pass,,,,,
515128,AAA,CW,4DGWNTX4PC67WC9W87NW9,20210630,21,Pass,Pass,Pass,Pass,,,,,
876622,AAA,CW,BNL7LAVPWJRJNRHKF8MGS,20220407,21,Pass,Pass,Pass,Pass,,,,,
846261,AAA,CW,PBZHIBTMEORNZ2FJVIQSN,20200931,21,Pass,Pass,Pass,Pass,,,,,
483794,AAA,CW,6436JDNHUQT1ZLOKTPBN2,20221020,21,Pass,Pass,Pass,Pass,,,,,
415043,AAA,CW,YWVHY1VYNVYREK90TIVV8,20210326,21,Pass,Pass,Pass,Pass,,,,,
575963,AAA,CW,90G25GCVRDBMSGDL6EBCE,20210901,21,Pass,Pass,Pass,Pass,,,,,
123548,AAA,CW,MWG3XSWISFS2BU1YLHCGF,20231127,21,Pass,Pass,Pass,Pass,,,,,
720030,AAA,CW,UHQQRYKRHT8FTX70BRCTZ,20230125,21,Pass,Pass,Pass,Pass,,,,,
691340,AAA,CW,QZ93L262XSI4509AQC447,20200507,21,Pass,Pass,Pass,Pass,,,,,
435936,AAA,CW,NL99MLCXM70VRRO4UE5UQ,20230106,21,Pass,Pass,Pass,Pass,,,,,
216115,AAA,CW,IUYFO3TE8NT5KR6K6N8UQ,20210601,21,Pass,Pass,Pass,Pass,,,,,
861259,AAA,CW,KE24P8GCYDL3KYOC74G7R,20231019,21,Pass,Pass,Pass,Pass,,,,,
419347,AAA,CW,38LGV9K0KXBMDODBJ0IPM,20220423,21,Pass,Pass,Pass,Pass,,,,,
136835,AAA,CW,NS9QL0T7TRQIYPV9XL8LM,20210224,21,Pass,Pass,Pass,Pass,,,,,
349845,AAA,CW,JYG69EE4SQYJSNRXWGNUY,20200229,21,Pass,Pass,Pass,Pass,,,,,
182012,AAA,CW,YXRL43EMX7Z0U75VITAP9,20220112,21,Pass,Pass,Pass,Pass,,,,,
171007,AAA,CW,DEIMAKLRC3K2ZKPETFAVN,20220929,21,Pass,Pass,Pass,Pass,,,,,
332093,AAA,CW,RHQ84OW9WKD9NBDKDPYCQ,20200121,21,Pass,Pass,Pass,Pass,,,,,
298395,AAA,CW,WUN85WJS0MJEVYO3V9JD8,20200808,21,Pass,Pass,Pass,Pass,,,,,
590545,AAA,CW,4IYSAN7W0829OLM1C5643,20231224,21,Pass,Pass,Pass,Pass,,,,,
863950,AAA,CW,LHP3IV03QCLDUMJFSLASS,20200216,21,Pass,Pass,Pass,Pass,,,,,
278037,AAA,CW,P7BWI3XIXQZBUHQ2CICJY,20201017,21,Pass,Pass,Pass,Pass,,,,,
172309,AAA,CW,CA9GNCQ5IG1VVO53AHZ0J,20220417,21,Pass,Pass,Pass,Pass,,,,,
140199,AAA,CW,W2OKWXPEC1TTMSJF4CMD8,20200420,21,Pass,Pass,Pass,Pass,,,,,
825412,AAA,CW,22R18MJQX9RG3T5NV3NOM,20220901,21,Pass,Pass,Pass,Pass,,,,,
672743,AAA,CW,O2A56ZJXWPZDWMYVH672A,20220801,21,Pass,Pass,Pass,Pass,,,,,
278586,AAA,CW,C8Q0MBVVAENP3NW6NPT1I,20220411,21,Pass,Pass,Pass,Pass,,,,,
748413,AAA,CW,YWY1EO7AHNSB5UJ06UYK8,20210622,21,Pass,Pass,Pass,Pass,,,,,
629971,AAA,CW,IP27197RQIQXMOSVGGCGM,20201101,21,Pass,Pass,Pass,Pass,,,,,
263928,AAA,CW,UQ7IDS1XBBUVYX5VAY0NN,20221024,21,Pass,Pass,Pass,Pass,,,,,
686261,AAA,CW,QTAJY86VF07G8LGY5ZJXL,20200701,21,Pass,Pass,Pass,Pass,,,,,
825134,AAA,CW,GS2WYGWQSREY56V795OEV,20211206,21,Pass,Pass,Pass,Pass,,,,,
971918,AAA,CW,SRSYFXU19DJTKHLBFB2WR,20221017,21,Pass,Pass,Pass,Pass,,,,,
872268,AAA,CW,AIQ7LT7GIZ9NIURBCNYDV,20210621,21,Pass,Pass,Pass,Pass,,,,,
346891,AAA,CW,VPGCSP7R6DTJBFJBGEN5Z,20211012,21,Pass,Pass,Pass,Pass,,,,,
391209,AAA,CW,E8FQSLJU1H9O45ZHPWI3J,20230130,21,Pass,Pass,Pass,Pass,,,,,
259755,AAA,CW,ZKOPENG0MDRJL7Z2NYXMV,20200309,21,Pass,Pass,Pass,Pass,,,,,
355652,AAA,CW,92VDPOB5FF2X49AFURC7J,20201225,21,Pass,Pass,Pass,Pass,,,,,
868498,AAA,CW,NDJO9RMH6IGF3WDJ8X3I0,20201122,21,Pass,Pass,Pass,Pass,,,,,
463888,AAA,CW,Q84YXBALO8H5IMYF10HDX,20210116,21,Pass,Pass,Pass,Pass,,,,,
977347,AAA,CW,PB3VFTBSD01OW1Y6MMNSY,20220824,21,Pass,Pass,Pass,Pass,,,,,
355794,AAA,CW,QIM9CQT6TJM6024UHEJVF,20220318,21,Pass,Pass,Pass,Pass,,,,,
677548,AAA,CW,BMF66RB0R62K4SHC6AHY3,20230211,21,Pass,Pass,Pass,Pass,,,,,
490443,AAA,CW,77NQV11V5SDGBONIC7E3J,20230511,21,Pass,Pass,Pass,Pass,,,,,
628704,AAA,CW,T6N39BKPIMMIAHXF5D8SL,20200109,21,Pass,Pass,Pass,Pass,,,,,
613122,AAA,CW,YOYAE136WNMN7ZUMAJZQ6,20201005,21,Pass,Pass,Pass,Pass,,,,,
567756,AAA,CW,IEFXFZSP9H97VFOZ2947B,20210504,21,Pass,Pass,Pass,Pass,,,,,
290945,AAA,CW,ZJ3PQAO8MH9F5EJKTV1NH,20230817,21,Pass,Pass,Pass,Pass,,,,,
867494,AAA,CW,9ZQJA9UH8ZFC15GVNL9QB,20200118,21,Pass,Pass,Pass,Pass,,,,,
258079,AAA,CW,R0HL88OV7LSX9HSAZHSS7,20200731,21,Pass,Pass,Pass,Pass,,,,,
700112,AAA,CW,RHNGXV5S149J9ATN7UC64,20220114,21,Pass,Pass,Pass,Pass,,,,,
195571,AAA,CW,NR661E27HRZC5ML52DLAY,20220610,21,Pass,Pass,Pass,Pass,,,,,
632764,AAA,CW,7YLAWN24B83D1JXVOSVC1,20200613,21,Pass,Pass,Pass,Pass,,,,,
675091,AAA,CW,7I5LF1C267FZ6TMOE50AH,20211122,21,Pass,Pass,Pass,Pass,,,,,
512267,AAA,CW,RYZHM7T0MQ3AUJQ9J7NRF,20210804,21,Pass,Pass,Pass,Pass,,,,,
423697,AAA,CW,GZYSLBVQHMKLX8RRTPADS,20220318,21,Pass,Pass,Pass,Pass,,,,,
109665,AAA,CW,JYJDNI36SC4UB6IVN1BZX,20210921,21,Pass,Pass,Pass,Pass,,,,,
356557,AAA,CW,6J7I8UG3XKLY0I75MOONZ,20201102,21,Pass,Pass,Pass,Pass,,,,,
